Номер ОУ,Полное наименование ОУ по Уставу,Краткое наименование,Адрес электронной почты,Адрес ОУ,Должность руководителя,ФИО руководителя,Тип ОУ,Вид ОУ,Телефон,Район,Подведомственность,"""Статус сервиса """"Электронный дневник""""""",ОГРН,Адрес электронной почты из Параграф.Регион,Адрес сайта в сети Интернет,Название,Адрес сайта,Город,Улица,Дом,Литерал,Корпус,Индекс,Сайт инициализирован,Сайт ОО,Код здания ФИАС,Тип местности,Часы работы,Юридический адрес через код здания ФИАС,Организационно-правовая форма,Статус,Тип группы ОВЗ,Тип питания,Официальный сайт,Старый ОГРН,ОКТМО
134,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №134 Красногвардейского района Санкт-Петербурга имени Сергея Дудко,ГБОУ СОШ №134,mail@school-134.ru,"Санкт-Петербург г, Отечественная ул, 5, А, 195030",Директор,Никифорова Марина Анатольевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-526-65-66,Красногвардейский,Красногвардейский,"",1037816004335,oo-school-134@yandex.ru,http://school-134.ru/,ГОУ СОШ №134,http://school-134.ru/,Санкт-Петербург г,Отечественная ул,5,"","",195030,Да,ГБОУ СОШ №134,"","","","","","","","","","",""
543,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №543 Московского района Санкт-Петербурга,ГБОУ СОШ №543,school543@inbox.ru,"Санкт-Петербург г, Космонавтов пр-кт, 28, А, 4, 196244",Директор,Виноградова Екатерина Геннадьевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-379-56-06,Московский,Московский,"",1027804892939,school543@spb.edu.ru,http://www.543spb.edusite.ru,ГОУ СОШ №543,www.543spb.edusite.ru,Санкт-Петербург г,Космонавтов пр-кт,28,"",4,196244,"","","","","","","","","","","","",""
353,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №353 Московского района Санкт-Петербурга,ГБОУ СОШ №353,school353.spb@yandex.ru,"Санкт-Петербург г, Пулковское ш, 88, 196140",Директор,Махмудова Екатерина Владимировна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-363-74-59,Московский,Московский,"",1037821014428,school353@spb.edu.ru,http://www.school353.spb.ru,ГОУ СОШ №353,www.school353.spb.ru,Санкт-Петербург г,Пулковское ш,88,"","",196140,"","","","","","","","","","","","",""
60,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 60 Выборгского района Санкт-Петербурга,ГБОУ СОШ №060,060@shko.la,"Санкт-Петербург г, Художников пр-кт, 9, 3, 194295",Директор,Ножницкая Ирина Юльевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-246-02-17,Выборгский,Выборгский,"",1027801583336,060@shko.la,http://060.shko.la,ГОУ СОШ №060,060.shko.la,Санкт-Петербург г,Художников пр-кт,9,"",3,194295,Да,ГБОУ СОШ №060,"","","","","","","","","","",""
56,"Государственное бюджетное общеобразовательное учреждение ""Академическая гимназия № 56"" Санкт-Петербурга",ГБОУ Гимназия №56,school56.spb@mail.ru,"Санкт-Петербург г, Чкаловский пр-кт, 35, 197136",Директор,Данилов Сергей Владиленович,Общеобразовательные учреждения,Гимназия,8-812-346-00-87,Петроградский,Комитет по образованию Санкт-Петербурга,"",1027806857561,pildes@school56.ru,http://www.school56.spb.ru,ГОУ Гимназия №56,www.school56.spb.ru,Санкт-Петербург г,Чкаловский пр-кт,35,"","",197136,Нет,ГБОУ Гимназия №56,00000000-0000-0000-0000-000000000000,Городская,"","","",Функционирует,"","","","",""
147,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №147 Красногвардейского района Санкт-Петербурга,ГБОУ СОШ №147,school-147.spb@mail.ru,"Санкт-Петербург г, Индустриальный пр-кт, 10, А, 2, 195426",Директор,Кожемякина Марина Михайловна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-520-26-20,Красногвардейский,Красногвардейский,"",1037816003664,school-147.spb@mail.ru,http://www.147spb.edusite.ru/,ГОУ СОШ №147,http://www.147spb.edusite.ru/,Санкт-Петербург г,Индустриальный пр-кт,10,"",2,195426,"","","","","","","","","","","","",""
284,Государственное бюджетное общеобразовательное учреждение Гимназия №284 Кировского района Санкт-Петербурга,ГБОУ Гимназия №284,sc284@kirov.spb.ru,"Санкт-Петербург г, Народного ополчения пр-кт, 135, литер А, 198217",Директор,Щурская Елена Евгеньевна,Общеобразовательные учреждения,Гимназия,8-812-756-62-24,Кировский,Кировский,"",1037811038682,sc284@kirov.spb.ru,http://www.kirov.spb.ru/sc/284,ГОУ Гимназия №284,http://www.kirov.spb.ru/sc/284,Санкт-Петербург г,Народного ополчения пр-кт,135,"",литер А,198217,"","","","","","","","","","","","",""
332,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 332 Невского района Санкт-Петербурга,ГБОУ СОШ №332,spb_school332@mail.ru,"Санкт-Петербург г, Товарищеский пр-кт, 10, А, 2, 193312",Директор,Красюк Светлана Ивановна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-584-54-98,Невский,Невский,"",1037825017603,spb_school332@mail.ru,http://school332.ru,ГОУ СОШ №332,http://school332.ru,Санкт-Петербург г,Товарищеский пр-кт,10,"",2,193312,Нет,ГБОУ СОШ №332,00000000-0000-0000-0000-000000000000,Городская,"","","","","","","","",""
96,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №96 Калининского района Санкт-Петербурга,ГБОУ СОШ №96,school96.spb@yandex.ru,"Санкт-Петербург г, Черкасова ул, 15, 1, 195265",Директор,Малиновская Юлия Владиславовна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-32-25,Калининский,Калининский,"",1027802499372,werswenik@yandex.ru,http://www.school96.spb.ru,ГОУ СОШ №96,www.school96.spb.ru,Санкт-Петербург г,Черкасова ул,15,"",1,195265,"","","","","","","","","","","","",""
3,Государственное бюджетное общеобразовательное учреждение школа №3 Петроградского района Санкт-Петербурга,ГБОУ школа №3,gbou3spb@mail.ru,"Санкт-Петербург г, Введенская ул, 15, А, 197198",Директор,Хижевский Александр Ярославович,"Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии",Специальная (коррекционная) общеобразовательная школа,8-812-409-82-15,Петроградский,Петроградский,"",1027806893047,school3p@petersburgedu.ru,http://gbou3spb.ru,"",http://gbou3spb.ru,Санкт-Петербург г,Введенская ул,15,"","",197198,Да,ГБОУ школа №3,00000000-0000-0000-0000-000000000000,"","","","","","","","","",""
232,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 232 Адмиралтейского района Санкт-Петербурга,ГБОУ СОШ №232,sc232@adm-edu.spb.ru,"Санкт-Петербург г, Крюкова канала наб, 15, А, 190068",Директор,Прокофьева Наталья Анатольевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-34-83,Адмиралтейский,Адмиралтейский,"",1027810291189,school232@ spb.edu.ru.,http://232spb.ru,ГОУ СОШ №232,232spb.ru,Санкт-Петербург г,Крюкова канала наб,15,"","",190068,Да,ГБОУ СОШ №232,"","","","","","","","","","",""
297,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №297 Пушкинского района Санкт-Петербурга,ГБОУ СОШ №297,School297@mail.ru,"Санкт-Петербург г, Центральная (Детскосельский) ул, 6, А, 196634",Директор,Михайлова Татьяна Анатольевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-60-66,Пушкинский,Пушкинский,"",1027809003530,School297@mail.ru,http://школа297.рф,ГОУ СОШ №297,http://школа297.рф,Санкт-Петербург г,Центральная (Детскосельский) ул,6,"","",196634,"","",00000000-0000-0000-0000-000000000000,Городская,07.00-19.00,"",Государственная,Функционирует,Задержка психического развития,организация,"","",""
500,Государственное бюджетное общеобразовательное учреждение школа №500 Пушкинского района Санкт-Петербурга,ГБОУ СОШ №500,scl500@mail.ru,"Санкт-Петербург г, Пушкин г, Госпитальная ул, 24, А, 196601",Директор,Базина Надежда Геннадьевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-573-98-61,Пушкинский,Пушкинский,"",1027809003518,scl500@mail.ru,http://www.школа500.рф/,ГОУ СОШ № 500,http://www.школа500.рф/,"Санкт-Петербург г, Пушкин г",Госпитальная ул,24,"","",196601,"","","","","","","","","","","","",""
414,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №414 Красносельского района Санкт-Петербурга,ГБОУ СОШ №414,school414@mail.ru,"Санкт-Петербург г, Российский бульвар, 4/2, А, 198218",Директор,Газыева Татьяна Артемовна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-54-53,Красносельский,Красносельский,"",1027804605443,school414@imail.ru,http://school414.ru,ГОУ СОШ №414,http://school414.ru,Санкт-Петербург г,Российский бульвар,4/2,"","",198218,"","","","","","","","","","","","",""
534,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №534 с углубленным изучением английского языка имени Героя России Тимура Сиразетдинова Выборгского района Санкт-Петербурга,ГБОУ СОШ №534,00534@list.ru,"Санкт-Петербург г, Светлановский пр-кт, 31, А, 194223",Директор,Бельская Марина Владимировна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-552-50-82,Выборгский,Выборгский,"",1027801583732,00534@list.ru,http://534sch.spb.ru,ГОУ СОШ №534,534sch.spb.ru,Санкт-Петербург г,Светлановский пр-кт,31,"","",194223,Да,ГБОУ СОШ №534,"","","","","","","","","","",""
285,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 285 Красносельского района Санкт-Петербурга,ГБОУ СОШ №285,school285@mail.ru,"Санкт-Петербург г, Пограничника Гарькавого ул, 46, А, 4, 198259",Директор,Минкеева Ирина Николаевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-52-65,Красносельский,Красносельский,"",1027804605696,school285@mail.ru,http://school285.ru,ГОУ СОШ №285,school285.ru,Санкт-Петербург г,Пограничника Гарькавого ул,46,"",4,198259,"","","","","","","","","","","","",""
426,Государственное бюджетное общеобразовательное учреждение гимназия № 426 Петродворцового района Санкт-Петербурга,ГБОУ гимназия № 426,school426-spb@yandex.ru,"Санкт-Петербург г, Ломоносов г, Владимирская ул, 28, А, 198412",Директор,Стогова Елена Анатольевна,Общеобразовательные учреждения,Гимназия,8-812-417-41-97,Петродворцовый,Петродворцовый,"",1027808910557,School426-spb@yandex.ru,http://www.gimnaziya426-spb.ru,ГОУ Гимназия № 426,http://www.gimnaziya426-spb.ru,"Санкт-Петербург г, Ломоносов г",Владимирская ул,28,"","",198412,Да,ГБОУ гимназия № 426,"","","","","","","","","","",""
465,Государственное бюджетное общеобразовательное учреждение основная общеобразовательная школа № 465 Колпинского района Санкт-Петербурга,ГБОУ ООШ №465,shkola465@mail.ru,"Санкт-Петербург г, Коммунаров ул, 2, Лит. Б, 196642",Исполняющий обязанности директора,Павлова Любовь Анатольевна,Общеобразовательные учреждения,Основная общеобразовательная школа,8-812-462-13-14,Колпинский,Колпинский,"",1027808757239,school465@spb.edu.ru,http://s465.ucoz.ru,ГОУ ООШ №465,http://s465.ucoz.ru,Санкт-Петербург г,Коммунаров ул,"2, Лит. Б","","",196642,Нет,ГБОУ ООШ №465,00000000-0000-0000-0000-000000000000,Городская,07.00-19.00,"",Государственная,Функционирует,"",поставка,"","",""
422,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №422 Кронштадтского района Санкт-Петербурга,ГБОУ СОШ №422,kr-school422@mail.ru,"Санкт-Петербург г, Кронштадт г, Ленина пр-кт, 6, А, 197760",Директор,Богданова Ольга Николаевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-57-13,Кронштадтский,Кронштадтский,"",1027808867052,school422@spb.edu.ru,http://school422.spb.ru,ГОУ СОШ №422,school422.spb.ru,"Санкт-Петербург г, Кронштадт г",Ленина пр-кт,6,"","",197760,"","","","","","","","","","","","",""
16,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №16 Василеостровского района Санкт-Петербурга,ГБОУ СОШ №16,sch16spb@yandex.ru,"Санкт-Петербург г, Наличная ул, 44, А, 5, 199397",Директор,Терновская Мария Владимировна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-350-15-25,Василеостровский,Василеостровский,"",1037800017518,school016@spb.edu.ru,http://sch16spb.ru,ГОУ СОШ №16,http://sch16spb.ru,Санкт-Петербург г,Наличная ул,44,"",5,199397,"","","","","","","","","","","","",""
398,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №398 Красносельского района Санкт-Петербурга,ГБОУ СОШ №398,spb398@yandex.ru,"Санкт-Петербург г, Политрука Пасечника ул, 3, А, 198326",Директор,Колоколова Наталья Петровна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-746-13-33,Красносельский,Красносельский,"",1027804600713,spb398@yandex.ru,http://school398.ru/,ГОУ СОШ №398,http://school398.ru/,Санкт-Петербург г,Политрука Пасечника ул,3,"","",198326,"","","","","","","","","","","","",""
312,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №312 с углубленным изучением французского языка Фрунзенского района Санкт-Петербурга,ГБОУ СОШ №312,school312@edu-frn.spb.ru,"Санкт-Петербург г, Балканская М. ул, 36, 3 литера А, 192283",Директор,Симанова Светлана Александровна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-417-51-47,Фрунзенский,Фрунзенский,"",1037835052331,www.school312k@yandex.ru,http://school312.spb.ru,ГОУ СОШ №312 (франц),school312.spb.ru,Санкт-Петербург г,Балканская М. ул,36,"",3 литера А,192283,"","","","","","","","","","","","",""
532,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 532 Красногвардейского района Санкт-Петербурга,ГБОУ СОШ №532,shckola532@yandex.ru,"Санкт-Петербург г, Большая Пороховская ул, 38, А, 195176",Директор,Караванская Ольга Викторовна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-222-97-44,Красногвардейский,Красногвардейский,"",1037816029460,shkola_tyrizma@mail.ru,http://sch532.petersburgedu.ru/,ГОУ СОШ №532,http://sch532.petersburgedu.ru/,Санкт-Петербург г,Большая Пороховская ул,38,"","",195176,Да,ГБОУ СОШ №532,00000000-0000-0000-0000-000000000000,Городская,"","","","","","","","",""
244,Государственное бюджетное общеобразовательное учреждение Лицей №244 Кировского района Санкт-Петербурга,ГБОУ лицей №244,sc244@kirov.spb.ru,"Санкт-Петербург г, Ветеранов пр-кт, 80, А, 198260",Директор,Светлицкий Сергей Леонидович,Общеобразовательные учреждения,Лицей,8-812-750-29-47,Кировский,Кировский,"",1027802751822,sc244@kirov.spb.ru,http://www.kirov.spb.ru/sc/244,ГОУ СОШ №244,http://www.kirov.spb.ru/sc/244,Санкт-Петербург г,Ветеранов пр-кт,80,"","",198260,"","","","","","","","","","","","",""
"",Государственное бюджетное учреждение дополнительного образования Дворец творчества детей и молодежи Колпинского района Санкт-Петербурга,ГБУ ДО ДТДиМ,dtdm@dtdm.spb.ru,"Санкт-Петербург г, Колпино г, Стахановская ул, 14, А, 196653",Директор,Самсонова Надежда Евгеньевна,Образовательные учреждения  дополнительного образования детей,Дворец,8-812-417-34-22,Комитет по образованию Санкт-Петербурга,Колпинский,"",1027808758691,"",http://dtdm.spb.ru,"",http://dtdm.spb.ru,"Санкт-Петербург г, Колпино г",Стахановская ул,14,"","",196653,Да,ГБУ ДО ДТДиМ,00000000-0000-0000-0000-000000000000,Городская,"","","","","","","","",""
"",Государственное бюджетное общеобразовательное учреждение кадетская школа Пушкинского района Санкт-Петербурга,ГБОУ КШ,pkschool@mail.ru,"Санкт-Петербург г, Павловск г, Декабристов ул, 14, А, 196621",Директор,Дмитренко Владимир Викторович,Общеобразовательные учреждения,Кадетская школа,8-812-452-39-03,Пушкинский,Пушкинский,"",1047855063849,pkschool@mail.ru,http://www.pksсhool.ru,ГОУ  КШ,http://www.pksсhool.ru,"Санкт-Петербург г, Павловск г",Декабристов ул,14,"","",196621,"","","","","","","","","","","","",""
"","Государственное бюджетное учреждение дополнительного образования Дом творчества ""Измайловский"" Адмиралтейского района Санкт-Петербурга","ГБУ ДО ДТ ""Измайловский""",ddti@adm-edu.spb.ru,"Санкт-Петербург г, Егорова ул, 26, А, 190005",Директор,Балышева Анжела Иосифовна,Образовательные учреждения  дополнительного образования детей,Дом,8-812-575-06-56,"",Адмиралтейский,"",1027810359730,"",http://www.ddt-i.ru,"",www.ddt-i.ru,Санкт-Петербург г,Егорова ул,26,"","",190005,"","","","","","","","","","","","",""
"","Государственное бюджетное учреждение дополнительного профессионального педагогического образования центр повышения квалификации специалистов ""Информационно-методический Центр"" Адмиралтейского района Санкт-Петербурга",ГБУ ДППО ЦПКС ИМЦ Адмиралтейского района,imc@adm-edu.spb.ru,"Санкт-Петербург г, Реки Фонтанки наб, 134, А, б, 190005",Директор,Гребенникова Ольга Михайлова,Образовательные учреждения дополнительного профессионального образования,"Курсы (школы, центры) повышения квалификации",8-812-251-59-79,Комитет по образованию Санкт-Петербурга,Адмиралтейский,"",1027810304345,"",http://adm-edu.spb.ru,"",adm-edu.spb.ru,Санкт-Петербург г,Реки Фонтанки наб,134,"",б,190005,Да,ГБУ ДППО ЦПКС ИМЦ Адмиралтейского района,00000000-0000-0000-0000-000000000000,Городская,"","","","","","","","",""
388,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 388 Кировского района Санкт-Петербурга,ГБОУ СОШ №388,sc388@kirov.spb.ru,"Санкт-Петербург г, Огородный пер, 9, А, 198097",Директор,Павлюкова Ирина Александровна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-573-96-48,Кировский,Кировский,"",1027802749248,sc388@kirov.spb.ru,http://www.kirov.spb.ru/sc/388,ГОУ СОШ №388,http://www.kirov.spb.ru/sc/388,Санкт-Петербург г,Огородный пер,9,"","",198097,"","","","","","","","","","","","",""
683,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 683 Приморского района Санкт-Петербурга,ГБОУ СОШ №683,primschool-683@yandex.ru,"Санкт-Петербург г, Приморский пр-кт, 157, А, 3, 197374",Директор,Дедина Светлана Анатольевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-345-21-52,Приморский,Приморский,"",1027807585024,school683@spb.edu.ru,http://www.school683.ru,ГОУ СОШ №683,http://www.school683.ru,Санкт-Петербург г,Приморский пр-кт,157,"",3,197374,"","","","","","","","","","","","",""
45,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №45 с углубленным изучением математики Приморского района Санкт-Петербурга,ГБОУ СОШ №45,primschool-45@yandex.ru,"Санкт-Петербург г, Маршала Новикова ул, 8, А, 2, 197349",Директор,Юшманова Лариса Петровна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-395-26-91,Приморский,Приморский,"",1027807568392,school45@spb.edu.ru,http://sckola45.spb.ru/,ГОУ СОШ №45 (матем.),http://sckola45.spb.ru/,Санкт-Петербург г,Маршала Новикова ул,8,"",2,197349,"","","","","","","","","","","","",""
"","Государственное бюджетное учреждение дополнительного образования Дом детского творчества ""Олимп"" Выборгского района Санкт-Петербурга","ГБУ ДО ДДТ ""Олимп""",ddtolimp@yandex.ru,"Санкт-Петербург г, Придорожная аллея, 17, А, 194352",Директор,Севостьянова Юлия Валерьевна,Образовательные учреждения  дополнительного образования детей,Дом,8-812-599-39-00,Комитет по образованию Санкт-Петербурга,Выборгский,"",1027801582214,"",http://ddt-olimp.ru,"",ddt-olimp.ru,Санкт-Петербург г,Придорожная аллея,17,"","",194352,"","",00000000-0000-0000-0000-000000000000,Городская,"","","","","","","","",""
644,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №644 Приморского района Санкт-Петербурга,ГБОУ СОШ №644,school644@mail.ru,"Санкт-Петербург г, Богатырский пр-кт, 19 литер А, 197227",Директор,Петухова Тамара Веноровна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-347-19-84,Приморский,Приморский,"",1027807581493,school644@mail.ru,http://school644.spb.ru/,ГОУ СОШ №644,http://school644.spb.ru/,Санкт-Петербург г,Богатырский пр-кт,19 литер А,"","",197227,"","","","","","","","","","","","",""
"","Государственное бюджетное учреждение дополнительного образования Центр психолого-педагогической, медицинской и социальной помощи Приморского района Санкт-Петербурга",ГБУ ДО ЦППМСП Приморского района,pmsprim@mail.ru,"Санкт-Петербург г, Черной речки наб, 16, А, 197183",Исполняющий обязанности директора,Ковлер Дарья Сергеевна,"Образовательные учреждения для детей, нуждающихся в психолого-педагогической и медико-социальной помощи",Центр психолого-медико-социального сопровождения,8-812-430-51-01,"",Приморский,"",1027807582824,"",http://primpms.ru,"",primpms.ru,Санкт-Петербург г,Черной речки наб,16,"","",197183,"","","","","","","","","","","","",""
553,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 553 с углубленным изучением английского языка Фрунзенского района Санкт-Петербурга,ГБОУ СОШ №553,school553@edu-frn.spb.ru,"Санкт-Петербург г, Ярослава Гашека ул, 4, 4, 192281",Директор,Судаков Анатолий Александрович,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-778-20-31,Фрунзенский,Фрунзенский,"",1027807992728,af553@mail.ru,http://spbschool553.com,ГОУ СОШ №553,spbschool553.com,Санкт-Петербург г,Ярослава Гашека ул,4,"",4,192281,Да,ГБОУ СОШ №553,00000000-0000-0000-0000-000000000000,Городская,"","","","","","","","",""
94,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 94 Выборгского района Санкт-Петербурга,ГБОУ СОШ №094,094@shko.la,"Санкт-Петербург г, Симонова ул, 8, А, 1, 194358",Директор,Колегова Оксана Петровна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-62-84,Выборгский,Выборгский,"",1027801583644,094@shko.la,http://school-94.narod.ru,ГОУ СОШ №094,http://school-94.narod.ru,Санкт-Петербург г,Симонова ул,8,"",1,194358,Да,ГБОУ СОШ №094,"","","","","","","","","","",""
377,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №377 Кировского района Санкт-Петербурга,ГБОУ СОШ №377,sc377@kirov.spb.ru,"Санкт-Петербург г, Стачек пр-кт, 107, А, 4, 198207",Директор,Валеева Жанна Валерьевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-246-25-90,Кировский,Кировский,"",1027802730614,sc377@kirov.spb.ru,http://www.kirov.spb.ru/sc/377,ГОУ СОШ №377,http://www.kirov.spb.ru/sc/377,Санкт-Петербург г,Стачек пр-кт,107,"",4,198207,"","","","","","","","","","","","",""
"","Академический лицей ""Физико-техническая школа"" федерального государственного бюджетного учреждения высшего образования и науки ""Санкт-Петербургский национальный исследовательский Академический университет Российской академии наук""",Лицей ФТШ,director@school.ioffe.ru,"Санкт-Петербург г, Хлопина ул, 8, А, 3, 194021",Директор,Иванов Михаил Георгиевич,Общеобразовательные учреждения,Средняя общеобразовательная школа,7-812-534-58-17,"",Калининский,"",1027802511879,"",http://www.school.ioffe.ru,"",www.school.ioffe.ru,Санкт-Петербург г,Хлопина ул,8,"",3,194021,"","","","","","","","","","","","",""
427,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 427 Кронштадтского района Санкт-Петербурга,ГБОУ СОШ №427,s427@ya.ru,"Санкт-Петербург г, Кронштадт г, Лебедева ул, 5, А, 197762",Директор,Емельянова Анна Михайловна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-57-31,Кронштадтский,Кронштадтский,"",1027808867118,s427@yandex.ru,http://s427.spb.ru,ГОУ СОШ №427,http://s427.spb.ru,"Санкт-Петербург г, Кронштадт г",Лебедева ул,5,"","",197762,"","","","","","","","","","","","",""
675,"Государственное бюджетное общеобразовательное учреждение прогимназия №675 Красносельского района Санкт-Петербурга ""Талант""","ГБОУ прогимназия №675 ""Талант""",talant675@gmail.com,"Санкт-Петербург г, Маршала Жукова пр-кт, 37, А, 4, 198332",Директор,Гордеева Ольга Вячеславовна,Образовательные учреждения для детей дошкольного и младшего школьного возраста,Прогимназия,8-812-742-01-55,Красносельский,Красносельский,"",1027804606202,school675@petersburgedu.ru,http://www.talant675.ru,ГОУ прогимназия №675,www.talant675.ru,Санкт-Петербург г,Маршала Жукова пр-кт,37,"",4,198332,"","",00000000-0000-0000-0000-000000000000,Городская,07.00-19.00,"",Государственная,Функционирует,Нет групп ОВЗ,поставка продуктов,"","",""
336,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №336 Невского района Санкт-Петербурга,ГБОУ СОШ №336,sh336@mail.ru,"Санкт-Петербург г, Седова ул, 66, А, 192171",Директор,Бурдин Юрий Николаевич,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-57-57,Невский,Невский,"",1037825012235,school336@spb.edu.ru,http://www.school336.ru/,ГОУ СОШ №336,http://www.school336.ru/,Санкт-Петербург г,Седова ул,66,"","",192171,"","","","","","","","","","","","",""
123,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 123 Выборгского района Санкт-Петербурга,ГБОУ СОШ №123,123@shko.la,"Санкт-Петербург г, Александра Матросова ул, 11, А, 194100",Директор,Ильичева Ирина Георгиевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-36-08,Выборгский,Выборгский,"",1027801583446,123@shko.la,http://www.123spb.edusite.ru,ГОУ СОШ №123,www.123spb.edusite.ru,Санкт-Петербург г,Александра Матросова ул,11,"","",194100,Да,ГБОУ СОШ №123,"","","","","","","","","","",""
643,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 643 Московского района Санкт-Петербурга,ГБОУ СОШ №643,school643@rusobr.ru,"Санкт-Петербург г, Варшавская ул, 63, А, 196191",Директор,Андреева Наталия Дмитриевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-375-00-00,Московский,Московский,"",1027804895073,school643@spb.edu.ru,http://www.643spb.edusite.ru,ГОУ СОШ №643,http://www.643spb.edusite.ru,Санкт-Петербург г,Варшавская ул,63,"","",196191,"","","","","","","","","","","","",""
270,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 270 Красносельского района Санкт-Петербурга имени А.Е. Березанского,ГБОУ СОШ №270,spb270@mail.ru,"Санкт-Петербург г, Красное Село г, Освобождения ул, 29, А, 3, 198320",Директор,Журавлева Елена Викторовна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-573-97-60,Красносельский,Красносельский,"",1027804603420,school270@infob.spb.ru,http://sh270.krsl.gov.spb.ru,ГОУ СОШ №270,sh270.krsl.gov.spb.ru,"Санкт-Петербург г, Красное Село г",Освобождения ул,29,"",3,198320,"","","","","","","","","","","","",""
411,"Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 411 ""Гармония"" с углубленным изучением английского языка Петродворцового района Санкт-Петербурга",ГБОУ СОШ №411,school411@mail.ru,"Санкт-Петербург г, Петергоф г, Ботаническая ул, 6, 198504",Директор,Носаева Ирина Владимировна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-417-38-70,Петродворцовый,Петродворцовый,"",1027808914121,school411@mail.ru,http://www.411school.ru,ГОУ СОШ №411,www.411school.ru,"Санкт-Петербург г, Петергоф г",Ботаническая ул,6,"","",198504,"","",00000000-0000-0000-0000-000000000000,Городская,7.00-19.00,11111111-1111-1111-1111-111111111111,Государственная,Функционирует,Нет групп ОВЗ,организация,"","",""
